,goldstein_DirectFX_IndiaChina,goldstein_DirectFX_IndiaPak,goldstein_OilSupply,goldstein_RiskOff_RusUkr,goldstein_Combined
2015-04-09,0.2711988888154197,2.077312828566002,0.6262564949254601,1.2321761427985216,2.077312828566002
2015-04-10,0.2456312513222017,1.8814713869112203,0.7479871175523349,1.1160110910740435,1.8814713869112203
2015-04-11,0.2224740370052731,1.7040931587609247,1.5171985246953177,1.4875779162956366,1.7040931587609247
2015-04-12,0.2014999999999999,1.5434375,1.3741626072028363,1.3473345212253511,1.5434375
2015-04-13,0.1825033183491771,2.3557894736842107,1.2446115918901963,1.2203127595534813,2.3557894736842107
2015-04-14,0.1265759763890334,2.133694274339604,1.1272741715921226,1.1052661441307787,2.133694274339604
2015-04-15,0.3622377622377622,1.932537396573783,1.0209988933244771,1.0010657020489682,1.932537396573783
2015-04-16,0.3280873133487438,1.7503448521518372,0.924742858871239,2.3061496467565834,2.3061496467565834
2015-04-17,0.2971564436447247,1.875433070866142,0.8375614906387394,2.088734308401287,2.088734308401287
2015-04-18,0.2691416229975312,2.89532293986637,0.7585992623476587,1.8918160914789504,2.89532293986637
2015-04-19,0.2437679369872589,5.378873239436619,0.8319902875787236,1.7134626024877369,5.378873239436619
2015-04-20,0.2207863891181532,4.871772780033605,0.8595529359430605,1.5519236269043628,4.871772780033605
2015-04-21,0.1999714573716905,4.412479893793196,0.7785174347711479,1.4056139540175514,4.412479893793196
2015-04-22,0.1811188811188811,3.996487457897187,0.705121663714261,1.2730978209732553,3.996487457897187
2015-04-23,0.1640436566743719,3.6197132645513856,0.8849344135802469,1.1530748233782917,3.6197132645513856
2015-04-24,0.1485782218223623,3.278459961554149,0.8015060397011328,1.0443671542006434,3.278459961554149
2015-04-25,0.25,2.9693787695213305,1.5598229063224098,1.3250157529930688,2.9693787695213305
2015-04-26,0.2264309160659766,2.6894366197183097,2.6984006141641608,1.2497358490566035,2.6984006141641608
2015-04-27,0.2050838390019095,2.439506172839506,2.44400529191274,1.1969742813918305,2.44400529191274
2015-04-28,0.1857492861421185,2.209518469858617,2.2135934284715857,1.084127932171865,2.2135934284715857
2015-04-29,0.1682375240790445,2.0012131647791267,2.0049039512257885,0.981920323257554,2.0049039512257885
2015-04-30,0.1523767067755594,1.81254612057692,1.815888953201406,0.8893484731960314,1.815888953201406
2015-05-01,0.1380111892092265,1.6416659139762566,1.6446935965899272,0.8055039579506204,1.6446935965899272
2015-05-02,0.125,1.5366771159874608,1.4896379108948126,0.9370420624151966,1.5366771159874608
2015-05-03,0.1132154580329883,1.3918048282826554,1.3492003070820804,2.3155763239875387,2.3155763239875387
2015-05-04,0.1025419195009547,1.260590569012364,1.5855020551967116,2.097272273044741,2.097272273044741
2015-05-05,0.0928746430710592,1.1417467093024014,1.4360267311307204,1.8995491281011752,1.8995491281011752
2015-05-06,0.0841187620395222,1.0341070132106285,1.300643392900636,1.7204665967531054,1.7204665967531054
2015-05-07,0.0761883533877797,0.9366151932461344,1.178023499718604,1.5582673102548756,1.5582673102548756
2015-05-08,0.0690055946046132,0.8483145448321362,1.3589598912304557,1.411359578146708,1.411359578146708
2015-05-09,0.0625,0.7683385579937304,1.2308421322729284,1.278301768712998,1.278301768712998
2015-05-10,0.0566077290164941,0.6959024141413277,1.114802846172637,1.157788161993769,1.157788161993769
2015-05-11,0.0512709597504773,0.6877966101694916,1.0097033187673128,1.0486361365223704,1.0486361365223704
2015-05-12,0.0464373215355296,0.6229536660310057,0.914512189693358,0.9497745640505876,0.9497745640505876
2015-05-13,0.0420593810197611,1.3052083333333333,0.8282953314630771,0.8602332983765527,1.3052083333333333
2015-05-14,0.0380941766938898,1.1821580742944533,0.7502066827054255,0.7791336551274378,1.1821580742944533
2015-05-15,0.0345027973023066,1.070708542789136,0.6794799456152278,0.705679789073354,1.070708542789136
2015-05-16,0.03125,0.969766064733644,1.6563776457482362,1.0807751937984496,1.6563776457482362
2015-05-17,0.028303864508247,4.525,1.5002204307119158,1.2653390232337598,4.525
2015-05-18,0.0256354798752386,4.098399580794178,1.3587851457079725,1.1460474966593934,4.098399580794178
2015-05-19,0.0232186607677648,3.7120174859345614,1.230683861117991,1.0380023380948231,3.7120174859345614
2015-05-20,0.0210296905098805,3.362062079172345,1.1146594962422398,0.9401432811737458,3.362062079172345
2015-05-21,0.0190470883469449,3.045099185830705,1.0095734833430816,0.8515100175577773,3.045099185830705
2015-05-22,0.0172513986511533,2.7580183926376254,1.6234819919386296,0.7712327732598535,2.7580183926376254
2015-05-23,0.015625,2.498002524687001,1.470426058605122,0.6985237733973294,2.498002524687001
2015-05-24,0.0141519322541235,2.2625,1.86200389794472,1.2414016872160931,2.2625
2015-05-25,0.0087741979975566,2.049199790397089,1.6864609933201693,1.1243668849687565,2.049199790397089
2015-05-26,0.007946998761324,1.8560087429672805,1.5274676305080916,1.0183656950308964,1.8560087429672805
2015-05-27,0.0071977848380071,1.6810310395861727,1.383463579348296,0.9223579088640436,1.6810310395861727
2015-05-28,0.3136986301369863,1.5225495929153527,1.2530357024629986,0.8642941315107237,1.5225495929153527
2015-05-29,0.2841242727622393,1.379009196318813,1.1349040878882852,1.092783505154639,1.379009196318813
2015-05-30,0.3264705882352942,1.2490012623435,1.4744832893579596,1.1087448559670785,1.4744832893579596
2015-05-31,0.2956921374508637,1.13125,1.4475697710881157,2.041432791728212,2.041432791728212
2015-06-01,0.267815366226023,4.646428571428571,1.3110981973475926,1.848973988472573,4.646428571428571
2015-06-02,0.2425667148444137,4.208380311454795,1.1874926635114642,2.305213004484305,4.208380311454795
2015-06-03,0.2196984137973405,3.8116296363069178,1.0755402064821096,2.2948867179380588,3.8116296363069178
2015-06-04,3.246153846153846,3.4522831610128035,0.9741422168781352,2.078533207241429,3.4522831610128035
2015-06-05,2.940118356302836,3.126814554669098,0.8823036581850298,1.8825767127569173,3.126814554669098
2015-06-06,2.6629347710401787,2.8320299359286114,2.89697247706422,1.7050942785360952,2.89697247706422
2015-06-07,2.411883038522278,2.5650365308743392,2.623856527198292,1.5443442378711345,2.623856527198292
2015-06-08,2.1844995434263628,2.3232142857142857,2.3764889483168057,1.398749122009494,2.3764889483168057
2015-06-09,4.0471264367816095,2.7757575757575754,2.152442278352176,1.2668801801723617,4.0471264367816095
2015-06-10,3.665578186061168,2.51406932262345,1.949517907465684,1.1474433589690294,3.665578186061168
2015-06-11,3.320000906325165,3.492877492877493,1.7657245026979227,1.0392666036207143,3.492877492877493
2015-06-12,3.0070033862363195,4.447478991596639,1.5992584666641272,1.1912288512911844,4.447478991596639
2015-06-13,2.7235141254359347,4.028186969005652,1.44848623853211,2.093788525367472,4.028186969005652
2015-06-14,2.466751193364344,3.6484242619079192,1.3119282635991458,1.8963938153895488,3.6484242619079192
2015-06-15,2.2341949296813186,3.30446419128458,1.1882444741584026,1.7176087553620325,3.30446419128458
