,USDINR,NIFTY,INDIAVIX,GOLD,CRUDE,DXY
2018-04-11,64.92530059814453,10417.150390625,14.720000267028809,1356.5,66.81999969482422,89.56999969482422
2018-04-12,65.19000244140625,10458.650390625,14.5600004196167,1338.4000244140625,67.06999969482422,89.75
2018-04-13,65.27570343017578,10480.599609375,14.140000343322754,1344.800048828125,67.38999938964844,89.80000305175781
2018-04-16,65.19560241699219,10528.349609375,14.260000228881836,1347.5,66.22000122070312,89.43000030517578
2018-04-17,65.4292984008789,10548.7001953125,14.039999961853027,1347.199951171875,66.5199966430664,89.5199966430664
2018-04-18,65.67500305175781,10526.2001953125,14.109999656677246,1351.199951171875,68.47000122070312,89.62000274658203
2018-04-19,66.01000213623047,10565.2998046875,13.75,1346.800048828125,68.29000091552734,89.94000244140625
2018-04-20,66.11479949951172,10564.0498046875,12.9399995803833,1336.699951171875,68.37999725341797,90.31999969482422
2018-04-23,66.1968994140625,10584.7001953125,13.149999618530273,1322.5,68.63999938964844,90.94000244140625
2018-04-24,66.54499816894531,10614.349609375,11.899999618530273,1331.4000244140625,67.69999694824219,90.7699966430664
2018-04-25,66.41410064697266,10570.5498046875,12.399999618530273,1321.199951171875,68.05000305175781,91.16999816894531
2018-04-26,66.90769958496094,10617.7998046875,12.039999961853027,1316.300048828125,68.19000244140625,91.55999755859375
2018-04-27,66.9000015258789,10692.2998046875,12.020000457763672,1320.300048828125,68.0999984741211,91.54000091552734
2018-04-30,66.61000061035156,10739.349609375,12.359999656677246,1316.199951171875,68.56999969482422,91.83999633789062
2018-05-01,66.44999694824219,,,1303.800048828125,67.25,92.44999694824219
2018-05-02,66.7886962890625,10718.0498046875,12.84000015258789,1302.5999755859375,67.93000030517578,92.51000213623047
2018-05-03,67.08000183105469,10679.650390625,12.989999771118164,1310.699951171875,68.43000030517578,92.41000366210938
2018-05-04,66.66000366210938,10618.25,13.25,1312.699951171875,69.72000122070312,92.56999969482422
2018-05-07,66.81050109863281,10715.5,13.760000228881836,1312.199951171875,70.7300033569336,92.75
2018-05-08,67.1187973022461,10717.7998046875,14.0600004196167,1312.0,69.05999755859375,93.12000274658203
2018-05-09,67.1624984741211,10741.7001953125,14.270000457763672,1311.300048828125,71.13999938964844,93.04000091552734
2018-05-10,67.62000274658203,10716.5498046875,14.430000305175781,1320.800048828125,71.36000061035156,92.6500015258789
2018-05-11,67.38999938964844,10806.5,13.979999542236328,1319.0,70.69999694824219,92.54000091552734
2018-05-14,67.3822021484375,10806.599609375,14.25,1316.5,70.95999908447266,92.58999633789062
2018-05-15,67.6780014038086,10801.849609375,13.170000076293945,1288.9000244140625,71.30999755859375,93.22000122070312
2018-05-16,68.45999908447266,10741.099609375,13.4399995803833,1290.199951171875,71.48999786376953,93.38999938964844
2018-05-17,68.05999755859375,10682.7001953125,13.40999984741211,1288.199951171875,71.48999786376953,93.47000122070312
2018-05-18,68.13999938964844,10596.400390625,14.149999618530273,1290.199951171875,71.27999877929688,93.63999938964844
2018-05-21,67.9749984741211,10516.7001953125,14.40999984741211,1290.199951171875,72.23999786376953,93.68000030517578
